Time 	 Roll 	 Pitch
56481; -3.118199; -0.022371 
56491; -3.115149; -0.024402 
56501; -3.119374; -0.022213 
56511; -3.122499; -0.025116 
56521; -3.121475; -0.028156 
56531; -3.119261; -0.028412 
56541; -3.118175; -0.030532 
56551; -3.124492; -0.027152 
56561; -3.121454; -0.027178 
56571; -3.122422; -0.026225 
56581; -3.120233; -0.026437 
56591; -3.125350; -0.022328 
56601; -3.124509; -0.027125 
56611; -3.117549; -0.027040 
56621; -3.115363; -0.025213 
56631; -3.115203; -0.026381 
56641; -3.122345; -0.028356 
56651; -3.121332; -0.024306 
56661; -3.123486; -0.023131 
56671; -3.122422; -0.027233 
56681; -3.114216; -0.023314 
56691; -3.124388; -0.027317 
56701; -3.120384; -0.024232 
56711; -3.123504; -0.027125 
56721; -3.118481; -0.025114 
56731; -3.115442; -0.025137 
56741; -3.118365; -0.025240 
56751; -3.118365; -0.026250 
56761; -3.123468; -0.026173 
56771; -3.120405; -0.026224 
56781; -3.116217; -0.026381 
56791; -3.118411; -0.029218 
56801; -3.115468; -0.032139 
56811; -3.119419; -0.030225 
56821; -3.118270; -0.029395 
56831; -3.117379; -0.031262 
56841; -3.121434; -0.028213 
56851; -3.121393; -0.024233 
56861; -3.120362; -0.021226 
56871; -3.120211; -0.024429 
56881; -3.120298; -0.032436 
56891; -3.124370; -0.029369 
56901; -3.123413; -0.029280 
56911; -3.120405; -0.023200 
56921; -3.112397; -0.031195 
56931; -3.118388; -0.029247 
56941; -3.119307; -0.026330 
56951; -3.123431; -0.025218 
56961; -3.124474; -0.027180 
56971; -3.120426; -0.026198 
56981; -3.122286; -0.020319 
56991; -3.119193; -0.024429 
57001; -3.124594; -0.028988 
57011; -3.121575; -0.028015 
57021; -3.120362; -0.024257 
57031; -3.119125; -0.023483 
57041; -3.118294; -0.027341 
57051; -3.119508; -0.029101 
57061; -3.119419; -0.022168 
57071; -3.120254; -0.022349 
57081; -3.121332; -0.028355 
57091; -3.121250; -0.031519 
57101; -3.127495; -0.030199 
57111; -3.118458; -0.025139 
57121; -3.112338; -0.027227 
57131; -3.116140; -0.026462 
57141; -3.121353; -0.024282 
57151; -3.126518; -0.028130 
57161; -3.124353; -0.032438 
57171; -3.115415; -0.028180 
57181; -3.116114; -0.023434 
57191; -3.122345; -0.023294 
57201; -3.120319; -0.031391 
57211; -3.122442; -0.028213 
57221; -3.123339; -0.026359 
57231; -3.116269; -0.026328 
57241; -3.115230; -0.026354 
57251; -3.122557; -0.029045 
57261; -3.119397; -0.026224 
57271; -3.117207; -0.031484 
57281; -3.118341; -0.022235 
57291; -3.122345; -0.028356 
57301; -3.124457; -0.032242 
57311; -3.123413; -0.029280 
57321; -3.117477; -0.026117 
57331; -3.110226; -0.024275 
57341; -3.120490; -0.023106 
57351; -3.119486; -0.024110 
57361; -3.120426; -0.026198 
57371; -3.119239; -0.027425 
57381; -3.115494; -0.029098 
57391; -3.122442; -0.026199 
57401; -3.118411; -0.020153 
57411; -3.122576; -0.026015 
57421; -3.113231; -0.027338 
57431; -3.124247; -0.023462 
57441; -3.125268; -0.025501 
57451; -3.120189; -0.020380 
57461; -3.124509; -0.028129 
57471; -3.111360; -0.020149 
57481; -3.111329; -0.021178 
57491; -3.122461; -0.027179 
57501; -3.121353; -0.030349 
57511; -3.125497; -0.029163 
57521; -3.118294; -0.024305 
57531; -3.118388; -0.023198 
57541; -3.120469; -0.024135 
57551; -3.119307; -0.025318 
57561; -3.129484; -0.029253 
57571; -3.120254; -0.027426 
57581; -3.119352; -0.023246 
57591; -3.116472; -0.026116 
57601; -3.119463; -0.028155 
57611; -3.119508; -0.026092 
57621; -3.115389; -0.026195 
57631; -3.117379; -0.027230 
57641; -3.121454; -0.026172 
57651; -3.119419; -0.029218 
57661; -3.122325; -0.028385 
57671; -3.122325; -0.028385 
57681; -3.121250; -0.024405 
57691; -3.118294; -0.026329 
57701; -3.119508; -0.023083 
57711; -3.121373; -0.027288 
57721; -3.117083; -0.025523 
57731; -3.121270; -0.028442 
57741; -3.122422; -0.023200 
57751; -3.122519; -0.021077 
57761; -3.118388; -0.025215 
57771; -3.118341; -0.029306 
57781; -3.117257; -0.031421 
57791; -3.120384; -0.028269 
57801; -3.122422; -0.027233 
57811; -3.117428; -0.020132 
57821; -3.116523; -0.030072 
57831; -3.115256; -0.028351 
57841; -3.120448; -0.022147 
57851; -3.122403; -0.027261 
57861; -3.117428; -0.029188 
57871; -3.122364; -0.029338 
57881; -3.119147; -0.024479 
57891; -3.123431; -0.024209 
57901; -3.119596; -0.025988 
57911; -3.117452; -0.023128 
57921; -3.120319; -0.024306 
57931; -3.120189; -0.031583 
57941; -3.123504; -0.031141 
57951; -3.122461; -0.023154 
57961; -3.118341; -0.021225 
57971; -3.114354; -0.028236 
57981; -3.115415; -0.025162 
57991; -3.122461; -0.026173 
58001; -3.120405; -0.027232 
58011; -3.116269; -0.029364 
58021; -3.118388; -0.027231 
58031; -3.114327; -0.026247 
58041; -3.120469; -0.029160 
58051; -3.120469; -0.026145 
58061; -3.121393; -0.026251 
58071; -3.119193; -0.027481 
58081; -3.120254; -0.027426 
58091; -3.125546; -0.025067 
58101; -3.118435; -0.028182 
58111; -3.123522; -0.024088 
58121; -3.121393; -0.027260 
58131; -3.115415; -0.031198 
58141; -3.119397; -0.030256 
58151; -3.116472; -0.024108 
58161; -3.124509; -0.034153 
58171; -3.118294; -0.027341 
58181; -3.118365; -0.022213 
58191; -3.122461; -0.025166 
58201; -3.121414; -0.034288 
58211; -3.117306; -0.028324 
58221; -3.114077; -0.025469 
58231; -3.122403; -0.033315 
58241; -3.124318; -0.023366 
58251; -3.122384; -0.025268 
58261; -3.119419; -0.028211 
58271; -3.115095; -0.023433 
58281; -3.121311; -0.021291 
58291; -3.120362; -0.025267 
58301; -3.123468; -0.030197 
58311; -3.120426; -0.030226 
58321; -3.119216; -0.026437 
58331; -3.119239; -0.025395 
58341; -3.122306; -0.023342 
58351; -3.122499; -0.029132 
58361; -3.120405; -0.029248 
58371; -3.115176; -0.023362 
58381; -3.116320; -0.024254 
58391; -3.117330; -0.029306 
58401; -3.121555; -0.029044 
58411; -3.115095; -0.027506 
58421; -3.119239; -0.022348 
58431; -3.119486; -0.032142 
58441; -3.119419; -0.030225 
58451; -3.125481; -0.024161 
58461; -3.117182; -0.022370 
58471; -3.115283; -0.034387 
58481; -3.106711; -0.038840 
58491; -3.120341; -0.030348 
58501; -3.122325; -0.026358 
58511; -3.117404; -0.029217 
58521; -3.116396; -0.034250 
58531; -3.114327; -0.030283 
58541; -3.120469; -0.027150 
58551; -3.125367; -0.024333 
58561; -3.122306; -0.031456 
58571; -3.121332; -0.031392 
58581; -3.116371; -0.028238 
58591; -3.120448; -0.028184 
58601; -3.117355; -0.026249 
58611; -3.120341; -0.028326 
58621; -3.120448; -0.031201 
58631; -3.116294; -0.028323 
58641; -3.124509; -0.030137 
58651; -3.115415; -0.028180 
58661; -3.117306; -0.027313 
58671; -3.114382; -0.028208 
